iso,longitude,latitude,adm1,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
BRA,-37.713501,-6.54219,2,2017,2986.186734,1287847.713
BRA,-45.274418,-4.96095,3,2017,38141.21678,25487205.62
BRA,-63.293072,-10.83077,4,2017,263806.6163,182629236.3
BRA,-78.791252,-3.3617,5,2017,163955.6507,96328892.73
BRA,-44.555031,-18.512178,7,2017,414.349379,248888.0919
BRA,-43.021549,-21.17524,8,2017,37151.70997,28391770.25
BRA,-37.713501,-6.54219,9,2017,95251.19264,47416590.64
BRA,-70.30146,-9.12893,10,2017,450528.7197,209324087.2
BRA,-87.568069,33.208496,1,2018,84489.42251,65539677.29
BRA,-37.713501,-6.54219,2,2018,1487.368438,662705.4654
BRA,-45.274418,-4.96095,3,2018,13126.12941,8947130.784
BRA,-63.293072,-10.83077,4,2018,193802.1388,142814170.7
BRA,-78.791252,-3.3617,5,2018,126119.6047,63872613.59
BRA,-44.555031,-18.512178,7,2018,224.7780865,164620.1783
BRA,-43.021549,-21.17524,8,2018,28954.43885,21812800.23
BRA,-37.713501,-6.54219,9,2018,33201.4262,19531956.51
BRA,-70.30146,-9.12893,10,2018,405396.8142,191601450.8
BRA,-87.568069,33.208496,1,2019,84744.71073,66740775.05
BRA,-37.713501,-6.54219,2,2019,850.6560107,382494.0169
BRA,-45.274418,-4.96095,3,2019,9698.110496,6531851.725
BRA,-63.293072,-10.83077,4,2019,215503.7009,160286564.8
BRA,-78.791252,-3.3617,5,2019,104207.1003,48072466.88
BRA,-44.555031,-18.512178,7,2019,132.4226462,105967.7404
BRA,-43.021549,-21.17524,8,2019,11386.20151,10210923.8
BRA,-37.713501,-6.54219,9,2019,40260.77777,22838297.17
BRA,-70.30146,-9.12893,10,2019,259756.1543,126241057.2
BRA,-87.568069,33.208496,1,2020,90039.09026,70907748.07
BRA,-37.713501,-6.54219,2,2020,1457.757534,712358.6996
